Lat,Long,geometry
43.6867714,-79.4364014,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6868439,-79.4332123,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6868668,-79.427536,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6869164,-79.4396667,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6869392,-79.3998642,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6870995,-79.434639,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6871338,-79.3937073,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.687149,-79.4102173,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6872292,-79.4312515,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.687336,-79.4252548,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6877441,-79.4071884,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6877708,-79.4124451,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
